"Date","Parameter","Unit","Value"
"2023-05-05T15:00:00.0000000+02:00","Stage","m","1.10"
"2023-08-16T10:00:00.0000000+02:00","Stage","m","0.38"
"2023-12-14T12:00:00.0000000+02:00","Stage","m","0.86"
"1972-06-08T00:00:00.0000000+02:00","Stage","m","1.28"
"1972-11-08T00:00:00.0000000+02:00","Stage","m","1.44"
"1972-11-20T00:00:00.0000000+02:00","Stage","m","0.92"
"1972-12-08T00:00:00.0000000+02:00","Stage","m","0.72"
"1973-01-10T00:00:00.0000000+02:00","Stage","m","0.76"
"1973-02-20T00:00:00.0000000+02:00","Stage","m","1.24"
"1973-04-09T00:00:00.0000000+02:00","Stage","m","1.08"
"1975-02-05T00:00:00.0000000+02:00","Stage","m","1.06"
"1975-07-16T00:00:00.0000000+02:00","Stage","m","1.43"
"1975-07-23T00:00:00.0000000+02:00","Stage","m","1.00"
"1975-10-30T00:00:00.0000000+02:00","Stage","m","0.77"
"1975-11-20T00:00:00.0000000+02:00","Stage","m","0.78"
"1976-04-20T00:00:00.0000000+02:00","Stage","m","3.45"
"1976-04-26T00:00:00.0000000+02:00","Stage","m","3.13"
"1976-05-13T00:00:00.0000000+02:00","Stage","m","2.20"
"1976-07-30T00:00:00.0000000+02:00","Stage","m","3.18"
"1976-08-11T00:00:00.0000000+02:00","Stage","m","1.74"
"1977-04-08T00:00:00.0000000+02:00","Stage","m","0.48"
"1977-04-09T00:00:00.0000000+02:00","Stage","m","1.16"
"1977-11-19T00:00:00.0000000+02:00","Stage","m","1.94"
"1977-11-22T00:00:00.0000000+02:00","Stage","m","0.90"
"1979-01-25T00:00:00.0000000+02:00","Stage","m","0.63"
"2017-05-03T14:19:00.0000000+02:00","Stage","m","1.23"
"2017-08-21T13:20:00.0000000+02:00","Stage","m","1.00"
"2017-11-20T12:21:00.0000000+02:00","Stage","m","1.27"
"2018-05-04T11:22:00.0000000+02:00","Stage","m","2.60"
"2018-08-27T09:26:00.0000000+02:00","Stage","m","2.07"
"2018-12-10T11:24:00.0000000+02:00","Stage","m","1.44"
"2019-06-03T08:13:00.0000000+02:00","Stage","m","1.44"
"2019-09-02T16:02:00.0000000+02:00","Stage","m","1.24"
"2020-10-20T09:31:00.0000000+02:00","Stage","m","1.78"
"2023-05-05T15:00:00.0000000+02:00","Discharge","m^3/s","7.95"
"2023-08-16T10:00:00.0000000+02:00","Discharge","m^3/s","1.83"
"2023-12-14T12:00:00.0000000+02:00","Discharge","m^3/s","14.62"
"1972-06-08T00:00:00.0000000+02:00","Discharge","m^3/s","10.40"
"1972-11-08T00:00:00.0000000+02:00","Discharge","m^3/s","11.80"
"1972-11-20T00:00:00.0000000+02:00","Discharge","m^3/s","5.17"
"1972-12-08T00:00:00.0000000+02:00","Discharge","m^3/s","2.88"
"1973-01-10T00:00:00.0000000+02:00","Discharge","m^3/s","3.76"
"1973-02-20T00:00:00.0000000+02:00","Discharge","m^3/s","7.34"
"1973-04-09T00:00:00.0000000+02:00","Discharge","m^3/s","6.37"
"1975-02-05T00:00:00.0000000+02:00","Discharge","m^3/s","6.26"
"1975-07-16T00:00:00.0000000+02:00","Discharge","m^3/s","8.49"
"1975-07-23T00:00:00.0000000+02:00","Discharge","m^3/s","4.57"
"1975-10-30T00:00:00.0000000+02:00","Discharge","m^3/s","3.75"
"1975-11-20T00:00:00.0000000+02:00","Discharge","m^3/s","3.80"
"1976-04-20T00:00:00.0000000+02:00","Discharge","m^3/s","27.60"
"1976-04-26T00:00:00.0000000+02:00","Discharge","m^3/s","24.55"
"1976-05-13T00:00:00.0000000+02:00","Discharge","m^3/s","13.60"
"1976-07-30T00:00:00.0000000+02:00","Discharge","m^3/s","23.50"
"1976-08-11T00:00:00.0000000+02:00","Discharge","m^3/s","9.90"
"1977-04-08T00:00:00.0000000+02:00","Discharge","m^3/s","7.32"
"1977-04-09T00:00:00.0000000+02:00","Discharge","m^3/s","8.48"
"1977-11-19T00:00:00.0000000+02:00","Discharge","m^3/s","18.38"
"1977-11-22T00:00:00.0000000+02:00","Discharge","m^3/s","7.08"
"1979-01-25T00:00:00.0000000+02:00","Discharge","m^3/s","4.57"
"2017-05-03T14:19:00.0000000+02:00","Discharge","m^3/s","8.30"
"2017-08-21T13:20:00.0000000+02:00","Discharge","m^3/s","2.60"
"2017-11-20T12:21:00.0000000+02:00","Discharge","m^3/s","4.90"
"2018-05-04T11:22:00.0000000+02:00","Discharge","m^3/s","28.10"
"2018-05-04T11:22:00.0000000+02:00","Discharge","m^3/s","9.09"
"2018-08-27T09:26:00.0000000+02:00","Discharge","m^3/s","16.70"
"2018-12-10T11:24:00.0000000+02:00","Discharge","m^3/s","6.50"
"2019-06-03T08:13:00.0000000+02:00","Discharge","m^3/s","7.67"
"2019-09-02T16:02:00.0000000+02:00","Discharge","m^3/s","6.75"
"2020-10-20T09:31:00.0000000+02:00","Discharge","m^3/s","16.09"